0.95387536e-3 SEC2 4
5.292988053968714e+00 6.952864983000868e-01 4.501410877120075e+00 6.817962246432584e-01
5.292995851889606e+00 6.952865321484263e-01 4.501401073086678e+00 6.817963141585254e-01
5.293003649790334e+00 6.952865659957853e-01 4.501391269076358e+00 6.817964036708796e-01
5.293011447670829e+00 6.952865998421646e-01 4.501381465089174e+00 6.817964931803232e-01
5.293019245531108e+00 6.952866336875632e-01 4.501371661125125e+00 6.817965826868541e-01
5.293027043371180e+00 6.952866675319820e-01 4.501361857184180e+00 6.817966721904746e-01
5.293034841191000e+00 6.952867013754201e-01 4.501352053266416e+00 6.817967616911819e-01
5.293042638990677e+00 6.952867352178784e-01 4.501342249371690e+00 6.817968511889784e-01
5.293050436770089e+00 6.952867690593560e-01 4.501332445500162e+00 6.817969406838617e-01
5.293058234529314e+00 6.952868028998539e-01 4.501322641651716e+00 6.817970301758346e-01
5.293066032268260e+00 6.952868367393714e-01 4.501312837826472e+00 6.817971196648956e-01
5.293073829987044e+00 6.952868705779086e-01 4.501303034024300e+00 6.817972091510445e-01
5.293081627685629e+00 6.952869044154656e-01 4.501293230245237e+00 6.817972986342818e-01
5.293089425364017e+00 6.952869382520427e-01 4.501283426489280e+00 6.817973881146078e-01
5.293097223022070e+00 6.952869720876395e-01 4.501273622756590e+00 6.817974775920220e-01
5.293105020660042e+00 6.952870059222557e-01 4.501263819046883e+00 6.817975670665237e-01
5.293112818277709e+00 6.952870397558921e-01 4.501254015360402e+00 6.817976565381146e-01
5.293120615875215e+00 6.952870735885482e-01 4.501244211696993e+00 6.817977460067935e-01
5.293128413452470e+00 6.952871074202240e-01 4.501234408056757e+00 6.817978354725607e-01
5.293136211009473e+00 6.952871412509201e-01 4.501224604439689e+00 6.817979249354168e-01
5.293144008546323e+00 6.952871750806358e-01 4.501214800845680e+00 6.817980143953611e-01
5.293151806062935e+00 6.952872089093712e-01 4.501204997274836e+00 6.817981038523936e-01
5.293159603559319e+00 6.952872427371266e-01 4.501195193727128e+00 6.817981933065150e-01
5.293167401035479e+00 6.952872765639018e-01 4.501185390202571e+00 6.817982827577244e-01
5.293175198491425e+00 6.952873103896967e-01 4.501175586701147e+00 6.817983722060219e-01
5.293182995927192e+00 6.952873442145118e-01 4.501165783222805e+00 6.817984616514089e-01
5.293190793342689e+00 6.952873780383466e-01 4.501155979767664e+00 6.817985510938838e-01
5.293198590738003e+00 6.952874118612010e-01 4.501146176335626e+00 6.817986405334466e-01
5.293206388113047e+00 6.952874456830757e-01 4.501136372926774e+00 6.817987299700988e-01
5.293214185467922e+00 6.952874795039701e-01 4.501126569541005e+00 6.817988194038395e-01
5.293221982802546e+00 6.952875133238843e-01 4.501116766178415e+00 6.817989088346683e-01
5.293229780116969e+00 6.952875471428187e-01 4.501106962838936e+00 6.817989982625865e-01
5.293237577411174e+00 6.952875809607727e-01 4.501097159522601e+00 6.817990876875926e-01
5.293245374685142e+00 6.952876147777467e-01 4.501087356229425e+00 6.817991771096873e-01
5.293253171938884e+00 6.952876485937404e-01 4.501077552959402e+00 6.817992665288700e-01
5.293260969172403e+00 6.952876824087544e-01 4.501067749712512e+00 6.817993559451427e-01
5.293268766385755e+00 6.952877162227881e-01 4.501057946488715e+00 6.817994453585029e-01
5.293276563578827e+00 6.952877500358414e-01 4.501048143288127e+00 6.817995347689516e-01
5.293284360751700e+00 6.952877838479150e-01 4.501038340110653e+00 6.817996241764898e-01
5.293292157904341e+00 6.952878176590086e-01 4.501028536956331e+00 6.817997135811166e-01
5.293299955036773e+00 6.952878514691221e-01 4.501018733825141e+00 6.817998029828320e-01
5.293307752149000e+00 6.952878852782554e-01 4.501008930717080e+00 6.817998923816359e-01
5.293315549240929e+00 6.952879190864087e-01 4.500999127632245e+00 6.817999817775291e-01
5.293323346312694e+00 6.952879528935820e-01 4.500989324570496e+00 6.818000711705103e-01
5.293331143364228e+00 6.952879866997750e-01 4.500979521531908e+00 6.818001605605800e-01
5.293338940395556e+00 6.952880205049881e-01 4.500969718516447e+00 6.818002499477385e-01
5.293346737406608e+00 6.952880543092214e-01 4.500959915524180e+00 6.818003393319870e-01
5.293354534397488e+00 6.952880881124743e-01 4.500950112555019e+00 6.818004287133231e-01
5.293362331368138e+00 6.952881219147472e-01 4.500940309609013e+00 6.818005180917479e-01
5.293370128318543e+00 6.952881557160404e-01 4.500930506686168e+00 6.818006074672628e-01
5.293377925248725e+00 6.952881895163532e-01 4.500920703786487e+00 6.818006968398650e-01
5.293385722158672e+00 6.952882233156862e-01 4.500910900909961e+00 6.818007862095569e-01
5.293393519048409e+00 6.952882571140392e-01 4.500901098056570e+00 6.818008755763376e-01
5.293401315917931e+00 6.952882909114119e-01 4.500891295226324e+00 6.818009649402067e-01
5.293409112767202e+00 6.952883247078047e-01 4.500881492419262e+00 6.818010543011646e-01
5.293416909596261e+00 6.952883585032179e-01 4.500871689635328e+00 6.818011436592125e-01
5.293424706405103e+00 6.952883922976505e-01 4.500861886874552e+00 6.818012330143477e-01
5.293432503193709e+00 6.952884260911035e-01 4.500852084136929e+00 6.818013223665732e-01
5.293440299962083e+00 6.952884598835765e-01 4.500842281422475e+00 6.818014117158869e-01
5.293448096710236e+00 6.952884936750693e-01 4.500832478731172e+00 6.818015010622894e-01
5.293455893438173e+00 6.952885274655822e-01 4.500822676063011e+00 6.818015904057811e-01
5.293463690145888e+00 6.952885612551154e-01 4.500812873417996e+00 6.818016797463624e-01
5.293471486833361e+00 6.952885950436682e-01 4.500803070796161e+00 6.818017690840319e-01
5.293479283500599e+00 6.952886288312413e-01 4.500793268197493e+00 6.818018584187905e-01
5.293479283500580e+00 6.952886288312414e-01 4.500793268197511e+00 6.818018584187909e-01
5.293488034508424e+00 6.952886667649144e-01 4.500782265373298e+00 6.818019587198408e-01
5.293496785459942e+00 6.952887046975392e-01 4.500771262607286e+00 6.818020590178370e-01
5.293505536355153e+00 6.952887426291156e-01 4.500760259899451e+00 6.818021593127793e-01
5.293514287194029e+00 6.952887805596438e-01 4.500749257249823e+00 6.818022596046686e-01
5.293523037976526e+00 6.952888184891234e-01 4.500738254658466e+00 6.818023598935031e-01
5.293531788702808e+00 6.952888564175546e-01 4.500727252125193e+00 6.818024601792834e-01
5.293540539372712e+00 6.952888943449376e-01 4.500716249650167e+00 6.818025604620112e-01
5.293549289986315e+00 6.952889322712725e-01 4.500705247233316e+00 6.818026607416855e-01
5.293558040543592e+00 6.952889701965590e-01 4.500694244874673e+00 6.818027610183059e-01
5.293566791044613e+00 6.952890081207975e-01 4.500683242574148e+00 6.818028612918735e-01
5.293575541489270e+00 6.952890460439873e-01 4.500672240331886e+00 6.818029615623863e-01
5.293584291877595e+00 6.952890839661287e-01 4.500661238147841e+00 6.818030618298450e-01
5.293593042209672e+00 6.952891218872221e-01 4.500650236021906e+00 6.818031620942512e-01
5.293601792485427e+00 6.952891598072672e-01 4.500639233954174e+00 6.818032623556038e-01
5.293610542704869e+00 6.952891977262641e-01 4.500628231944640e+00 6.818033626139027e-01
5.293619292867965e+00 6.952892356442122e-01 4.500617229993348e+00 6.818034628691471e-01
5.293628042974795e+00 6.952892735611128e-01 4.500606228100186e+00 6.818035631213395e-01
5.293636793025289e+00 6.952893114769645e-01 4.500595226265260e+00 6.818036633704770e-01
5.293645543019479e+00 6.952893493917683e-01 4.500584224488515e+00 6.818037636165619e-01
5.293654292957370e+00 6.952893873055237e-01 4.500573222769958e+00 6.818038638595927e-01
5.293663042838936e+00 6.952894252182310e-01 4.500562221109608e+00 6.818039640995707e-01
5.293671792664182e+00 6.952894631298896e-01 4.500551219507486e+00 6.818040643364937e-01
5.293680542433162e+00 6.952895010405005e-01 4.500540217963490e+00 6.818041645703650e-01
5.293689292145842e+00 6.952895389500628e-01 4.500529216477696e+00 6.818042648011817e-01
5.293698041802162e+00 6.952895768585768e-01 4.500518215050162e+00 6.818043650289447e-01
5.293706791402198e+00 6.952896147660431e-01 4.500507213680784e+00 6.818044652536558e-01
5.293715540945916e+00 6.952896526724607e-01 4.500496212369632e+00 6.818045654753120e-01
5.293724290433382e+00 6.952896905778301e-01 4.500485211116613e+00 6.818046656939151e-01
5.293733039864554e+00 6.952897284821516e-01 4.500474209921775e+00 6.818047659094655e-01
5.293741789239355e+00 6.952897663854245e-01 4.500463208785217e+00 6.818048661219617e-01
5.293750538557891e+00 6.952898042876492e-01 4.500452207706820e+00 6.818049663314040e-01
5.293759287820100e+00 6.952898421888259e-01 4.500441206686631e+00 6.818050665377945e-01
5.293768037026036e+00 6.952898800889543e-01 4.500430205724622e+00 6.818051667411303e-01
5.293776786175653e+00 6.952899179880344e-01 4.500419204820831e+00 6.818052669414129e-01
5.293785535268992e+00 6.952899558860666e-01 4.500408203975205e+00 6.818053671386428e-01
5.293794284306042e+00 6.952899937830501e-01 4.500397203187776e+00 6.818054673328183e-01
5.293803033286722e+00 6.952900316789857e-01 4.500386202458618e+00 6.818055675239414e-01
5.293811782211161e+00 6.952900695738731e-01 4.500375201787596e+00 6.818056677120108e-01
5.293820531079307e+00 6.952901074677126e-01 4.500364201174762e+00 6.818057678970276e-01
5.293829279891115e+00 6.952901453605033e-01 4.500353200620186e+00 6.818058680789897e-01
5.293838028646681e+00 6.952901832522463e-01 4.500342200123736e+00 6.818059682578997e-01
5.293846777345848e+00 6.952902211429411e-01 4.500331199685599e+00 6.818060684337566e-01
5.293855525988851e+00 6.952902590325876e-01 4.500320199305522e+00 6.818061686065594e-01
5.293864274575492e+00 6.952902969211855e-01 4.500309198983730e+00 6.818062687763080e-01
5.293873023105904e+00 6.952903348087359e-01 4.500298198720050e+00 6.818063689430049e-01
5.293881771579871e+00 6.952903726952382e-01 4.500287198514737e+00 6.818064691066491e-01
5.293890519997658e+00 6.952904105806920e-01 4.500276198367503e+00 6.818065692672391e-01
5.293899268359172e+00 6.952904484650974e-01 4.500265198278458e+00 6.818066694247751e-01
5.293908016664373e+00 6.952904863484549e-01 4.500254198247626e+00 6.818067695792588e-01
5.293916764913207e+00 6.952905242307643e-01 4.500243198275086e+00 6.818068697306892e-01
5.293925513105851e+00 6.952905621120254e-01 4.500232198360637e+00 6.818069698790659e-01
5.293934261242097e+00 6.952905999922385e-01 4.500221198504507e+00 6.818070700243898e-01
5.293943009322167e+00 6.952906378714034e-01 4.500210198706447e+00 6.818071701666607e-01
5.293951757345866e+00 6.952906757495202e-01 4.500199198966688e+00 6.818072703058782e-01
5.293960505313327e+00 6.952907136265889e-01 4.500188199285069e+00 6.818073704420426e-01
5.293969253224457e+00 6.952907515026094e-01 4.500177199661706e+00 6.818074705751538e-01
5.293978001079315e+00 6.952907893775819e-01 4.500166200096524e+00 6.818075707052121e-01
5.293986748877873e+00 6.952908272515063e-01 4.500155200589563e+00 6.818076708322173e-01
5.293995496620138e+00 6.952908651243827e-01 4.500144201140803e+00 6.818077709561700e-01
5.294004244306123e+00 6.952909029962102e-01 4.500133201750264e+00 6.818078710770674e-01
5.294012991935864e+00 6.952909408669904e-01 4.500122202417857e+00 6.818079711949140e-01
5.294021739509287e+00 6.952909787367222e-01 4.500111203143707e+00 6.818080713097062e-01
5.294030487026450e+00 6.952910166054058e-01 4.500100203927736e+00 6.818081714214452e-01
5.294039234487262e+00 6.952910544730415e-01 4.500089204770033e+00 6.818082715301322e-01
5.294047981891871e+00 6.952910923396293e-01 4.500078205670450e+00 6.818083716357660e-01
5.294056729240125e+00 6.952911302051688e-01 4.500067206629153e+00 6.818084717383466e-01
5.294065476532142e+00 6.952911680696602e-01 4.500056207646012e+00 6.818085718378740e-01
5.294074223767886e+00 6.952912059331038e-01 4.500045208721063e+00 6.818086719343490e-01
5.294082970947325e+00 6.952912437954988e-01 4.500034209854356e+00 6.818087720277699e-01
5.294091718070436e+00 6.952912816568456e-01 4.500023211045913e+00 6.818088721181375e-01
5.294100465137295e+00 6.952913195171448e-01 4.500012212295630e+00 6.818089722054536e-01
5.294109212147940e+00 6.952913573763958e-01 4.500001213603492e+00 6.818090722897154e-01
5.294117959102200e+00 6.952913952345986e-01 4.499990214969679e+00 6.818091723709246e-01
5.294126706000267e+00 6.952914330917539e-01 4.499979216393960e+00 6.818092724490824e-01
5.294135452842006e+00 6.952914709478605e-01 4.499968217876528e+00 6.818093725241852e-01
5.294144199627494e+00 6.952915088029192e-01 4.499957219417265e+00 6.818094725962358e-01
5.294152946356736e+00 6.952915466569302e-01 4.499946221016172e+00 6.818095726652340e-01
5.294161693029597e+00 6.952915845098927e-01 4.499935222673410e+00 6.818096727311788e-01
5.294170439646277e+00 6.952916223618075e-01 4.499924224388748e+00 6.818097727940710e-01
5.294179186206647e+00 6.952916602126741e-01 4.499913226162338e+00 6.818098728539097e-01
5.294187932710756e+00 6.952916980624925e-01 4.499902227994125e+00 6.818099729106953e-01
5.294196679158556e+00 6.952917359112633e-01 4.499891229884147e+00 6.818100729644295e-01
5.294205425550099e+00 6.952917737589858e-01 4.499880231832371e+00 6.818101730151097e-01
5.294214171885379e+00 6.952918116056600e-01 4.499869233838797e+00 6.818102730627368e-01
5.294222918164380e+00 6.952918494512869e-01 4.499858235903423e+00 6.818103731073126e-01
5.294231664387119e+00 6.952918872958650e-01 4.499847238026266e+00 6.818104731488338e-01
5.294240410553512e+00 6.952919251393954e-01 4.499836240207402e+00 6.818105731873028e-01
5.294249156663705e+00 6.952919629818779e-01 4.499825242446666e+00 6.818106732227190e-01
5.294257902717652e+00 6.952920008233122e-01 4.499814244744116e+00 6.818107732550822e-01
5.294266648715254e+00 6.952920386636985e-01 4.499803247099864e+00 6.818108732843925e-01
5.294275394656623e+00 6.952920765030374e-01 4.499792249513770e+00 6.818109733106515e-01
5.294284140541713e+00 6.952921143413274e-01 4.499781251985916e+00 6.818110733338558e-01
5.294292886370523e+00 6.952921521785701e-01 4.499770254516269e+00 6.818111733540093e-01
5.294301632143065e+00 6.952921900147645e-01 4.499759257104857e+00 6.818112733711083e-01
5.294310377859353e+00 6.952922278499108e-01 4.499748259751635e+00 6.818113733851550e-01
5.294319123519378e+00 6.952922656840091e-01 4.499737262456622e+00 6.818114733961488e-01
5.294327869123157e+00 6.952923035170600e-01 4.499726265219788e+00 6.818115734040912e-01
5.294336614670645e+00 6.952923413490626e-01 4.499715268041206e+00 6.818116734089801e-01
5.294345360161829e+00 6.952923791800172e-01 4.499704270920883e+00 6.818117734108162e-01
5.294345360161826e+00 6.952923791800172e-01 4.499704270920885e+00 6.818117734108163e-01
5.294355176477275e+00 6.952924216523427e-01 4.499691926954219e+00 6.818118856851215e-01
5.294364992697950e+00 6.952924641235296e-01 4.499679583082237e+00 6.818119979561694e-01
5.294374808823942e+00 6.952925065935781e-01 4.499667239304843e+00 6.818121102239598e-01
5.294384624855181e+00 6.952925490624885e-01 4.499654895622093e+00 6.818122224884947e-01
5.294394440791574e+00 6.952925915302601e-01 4.499642552034130e+00 6.818123347497710e-01
5.294404256633412e+00 6.952926339968931e-01 4.499630208540611e+00 6.818124470077898e-01
5.294414072380460e+00 6.952926764623880e-01 4.499617865141788e+00 6.818125592625527e-01
5.294423888032726e+00 6.952927189267447e-01 4.499605521837664e+00 6.818126715140591e-01
5.294433703590284e+00 6.952927613899629e-01 4.499593178628152e+00 6.818127837623087e-01
5.294443519053202e+00 6.952928038520432e-01 4.499580835513182e+00 6.818128960073019e-01
5.294453334421307e+00 6.952928463129840e-01 4.499568492492969e+00 6.818130082490361e-01
5.294463149694680e+00 6.952928887727868e-01 4.499556149567407e+00 6.818131204875137e-01
5.294472964873413e+00 6.952929312314513e-01 4.499543806736384e+00 6.818132327227350e-01
5.294482779957410e+00 6.952929736889776e-01 4.499531464000022e+00 6.818133449546993e-01
5.294492594946681e+00 6.952930161453655e-01 4.499519121358300e+00 6.818134571834072e-01
5.294502409841217e+00 6.952930586006149e-01 4.499506778811248e+00 6.818135694088576e-01
5.294512224641121e+00 6.952931010547260e-01 4.499494436358738e+00 6.818136816310512e-01
5.294522039346226e+00 6.952931435076984e-01 4.499482094000970e+00 6.818137938499873e-01
5.294531853956600e+00 6.952931859595327e-01 4.499469751737857e+00 6.818139060656673e-01
5.294541668472354e+00 6.952932284102288e-01 4.499457409569276e+00 6.818140182780906e-01
5.294551482893362e+00 6.952932708597859e-01 4.499445067495393e+00 6.818141304872554e-01
5.294561297219601e+00 6.952933133082048e-01 4.499432725516215e+00 6.818142426931638e-01
5.294571111451249e+00 6.952933557554861e-01 4.499420383631524e+00 6.818143548958173e-01
5.294580925588138e+00 6.952933982016282e-01 4.499408041841553e+00 6.818144670952119e-01
5.294590739630276e+00 6.952934406466321e-01 4.499395700146279e+00 6.818145792913497e-01
5.294600553577766e+00 6.952934830904981e-01 4.499383358545560e+00 6.818146914842325e-01
5.294610367430518e+00 6.952935255332252e-01 4.499371017039544e+00 6.818148036738565e-01
5.294620181188627e+00 6.952935679748141e-01 4.499358675628098e+00 6.818149158602241e-01
5.294629994852084e+00 6.952936104152653e-01 4.499346334311221e+00 6.818150280433367e-01
5.294639808420724e+00 6.952936528545773e-01 4.499333993089142e+00 6.818151402231903e-01
5.294649621894731e+00 6.952936952927508e-01 4.499321651961641e+00 6.818152523997862e-01
5.294659435274020e+00 6.952937377297869e-01 4.499309310928778e+00 6.818153645731283e-01
5.294669248558669e+00 6.952937801656838e-01 4.499296969990517e+00 6.818154767432112e-01
5.294679061748560e+00 6.952938226004430e-01 4.499284629146959e+00 6.818155889100388e-01
5.294688874843852e+00 6.952938650340633e-01 4.499272288397950e+00 6.818157010736081e-01
5.294698687844404e+00 6.952939074665452e-01 4.499259947743639e+00 6.818158132339208e-01
5.294708500750236e+00 6.952939498978893e-01 4.499247607183993e+00 6.818159253909780e-01
5.294718313561413e+00 6.952939923280949e-01 4.499235266718961e+00 6.818160375447777e-01
5.294728126277967e+00 6.952940347571619e-01 4.499222926348503e+00 6.818161496953200e-01
5.294737938899724e+00 6.952940771850906e-01 4.499210586072816e+00 6.818162618426057e-01
5.294747751426905e+00 6.952941196118816e-01 4.499198245891629e+00 6.818163739866364e-01
5.294757563859312e+00 6.952941620375338e-01 4.499185905805206e+00 6.818164861274087e-01
5.294767376197168e+00 6.952942044620475e-01 4.499173565813281e+00 6.818165982649240e-01
5.294777188440236e+00 6.952942468854231e-01 4.499161225916119e+00 6.818167103991830e-01
5.294787000588761e+00 6.952942893076605e-01 4.499148886113445e+00 6.818168225301853e-01
5.294796812642486e+00 6.952943317287595e-01 4.499136546405549e+00 6.818169346579313e-01
5.294806624601573e+00 6.952943741487204e-01 4.499124206792252e+00 6.818170467824208e-01
5.294816436466013e+00 6.952944165675425e-01 4.499111867273578e+00 6.818171589036524e-01
5.294826248235792e+00 6.952944589852267e-01 4.499099527849525e+00 6.818172710216283e-01
5.294836059910808e+00 6.952945014017723e-01 4.499087188520229e+00 6.818173831363465e-01
5.294845871491294e+00 6.952945438171795e-01 4.499074849285424e+00 6.818174952478074e-01
5.294855682977010e+00 6.952945862314486e-01 4.499062510145367e+00 6.818176073560127e-01
5.294865494368159e+00 6.952946286445796e-01 4.499050171099834e+00 6.818177194609618e-01
5.294875305664536e+00 6.952946710565721e-01 4.499037832149076e+00 6.818178315626532e-01
5.294885116866351e+00 6.952947134674262e-01 4.499025493292841e+00 6.818179436610883e-01
5.294894927973445e+00 6.952947558771417e-01 4.499013154531327e+00 6.818180557562655e-01
5.294904738985913e+00 6.952947982857196e-01 4.499000815864397e+00 6.818181678481881e-01
5.294914549903717e+00 6.952948406931592e-01 4.498988477292125e+00 6.818182799368531e-01
5.294924360726859e+00 6.952948830994601e-01 4.498976138814498e+00 6.818183920222614e-01
5.294934171455314e+00 6.952949255046225e-01 4.498963800431564e+00 6.818185041044117e-01
5.294943982089213e+00 6.952949679086475e-01 4.498951462143131e+00 6.818186161833083e-01
5.294953792628391e+00 6.952950103115335e-01 4.498939123949435e+00 6.818187282589462e-01
5.294963603072946e+00 6.952950527132811e-01 4.498926785850356e+00 6.818188403313268e-01
5.294973413422806e+00 6.952950951138912e-01 4.498914447845948e+00 6.818189524004532e-01
5.294983223678090e+00 6.952951375133626e-01 4.498902109936118e+00 6.818190644663211e-01
5.294993033838681e+00 6.952951799116954e-01 4.498889772120981e+00 6.818191765289324e-01
5.295002843904664e+00 6.952952223088905e-01 4.498877434400431e+00 6.818192885882882e-01
5.295012653876030e+00 6.952952647049472e-01 4.498865096774503e+00 6.818194006443865e-01
5.295022463752717e+00 6.952953070998654e-01 4.498852759243253e+00 6.818195126972285e-01
5.295032273534679e+00 6.952953494936452e-01 4.498840421806748e+00 6.818196247468131e-01
5.295042083222092e+00 6.952953918862869e-01 4.498828084464781e+00 6.818197367931413e-01
5.295051892814897e+00 6.952954342777905e-01 4.498815747217416e+00 6.818198488362135e-01
5.295061702312971e+00 6.952954766681558e-01 4.498803410064798e+00 6.818199608760290e-01
5.295071511716521e+00 6.952955190573831e-01 4.498791073006688e+00 6.818200729125887e-01
5.295081321025325e+00 6.952955614454716e-01 4.498778736043369e+00 6.818201849458898e-01
5.295091130239599e+00 6.952956038324219e-01 4.498766399174564e+00 6.818202969759353e-01
5.295100939359275e+00 6.952956462182347e-01 4.498754062400349e+00 6.818204090027257e-01
5.295110748384168e+00 6.952956886029087e-01 4.498741725720963e+00 6.818205210262581e-01
5.295120557314561e+00 6.952957309864446e-01 4.498729389136067e+00 6.818206330465345e-01
5.295130366150267e+00 6.952957733688420e-01 4.498717052645897e+00 6.818207450635533e-01
5.295140174891394e+00 6.952958157501010e-01 4.498704716250315e+00 6.818208570773152e-01
5.295149983537897e+00 6.952958581302223e-01 4.498692379949360e+00 6.818209690878221e-01
5.295159792089738e+00 6.952959005092056e-01 4.498680043743083e+00 6.818210810950732e-01
5.295169600546997e+00 6.952959428870498e-01 4.498667707631435e+00 6.818211930990649e-01
5.295179408909625e+00 6.952959852637565e-01 4.498655371614409e+00 6.818213050998029e-01
5.295189217177636e+00 6.952960276393245e-01 4.498643035692043e+00 6.818214170972826e-01
5.295199025350987e+00 6.952960700137543e-01 4.498630699864369e+00 6.818215290915058e-01
5.295208833429799e+00 6.952961123870461e-01 4.498618364131246e+00 6.818216410824729e-01
5.295218641413986e+00 6.952961547591995e-01 4.498606028492778e+00 6.818217530701833e-01
5.295228449303488e+00 6.952961971302150e-01 4.498593692949029e+00 6.818218650546378e-01
5.295238257098449e+00 6.952962395000921e-01 4.498581357499841e+00 6.818219770358359e-01
5.295248064798803e+00 6.952962818688305e-01 4.498569022145309e+00 6.818220890137758e-01
5.295257872404512e+00 6.952963242364315e-01 4.498556686885436e+00 6.818222009884616e-01
5.295267679915632e+00 6.952963666028940e-01 4.498544351720200e+00 6.818223129598895e-01
5.295277487332138e+00 6.952964089682182e-01 4.498532016649612e+00 6.818224249280612e-01
5.295287294654091e+00 6.952964513324041e-01 4.498519681673611e+00 6.818225368929761e-01
5.295297101881407e+00 6.952964936954521e-01 4.498507346792282e+00 6.818226488546354e-01
5.295306909014135e+00 6.952965360573619e-01 4.498495012005584e+00 6.818227608130379e-01
5.295316716052207e+00 6.952965784181332e-01 4.498482677313593e+00 6.818228727681839e-01
5.295316716052204e+00 6.952965784181334e-01 4.498482677313596e+00 6.818228727681841e-01
5.295327724198104e+00 6.952966259752164e-01 4.498468831635608e+00 6.818229984598023e-01
5.295338732207628e+00 6.952966735310444e-01 4.498454986090758e+00 6.818231241478871e-01
5.295349740080818e+00 6.952967210856182e-01 4.498441140678967e+00 6.818232498324412e-01
5.295360747817681e+00 6.952967686389391e-01 4.498427295400204e+00 6.818233755134676e-01
5.295371755418031e+00 6.952968161910045e-01 4.498413450254753e+00 6.818235011909595e-01
5.295382762882215e+00 6.952968637418159e-01 4.498399605242177e+00 6.818236268649206e-01
5.295393770210012e+00 6.952969112913734e-01 4.498385760362730e+00 6.818237525353517e-01
5.295404777401364e+00 6.952969588396770e-01 4.498371915616472e+00 6.818238782022532e-01
5.295415784456463e+00 6.952970063867262e-01 4.498358071003213e+00 6.818240038656227e-01
5.295426791375248e+00 6.952970539325218e-01 4.498344226522995e+00 6.818241295254631e-01
5.295437798157637e+00 6.952971014770621e-01 4.498330382175966e+00 6.818242551817694e-01
5.295448804803646e+00 6.952971490203490e-01 4.498316537962059e+00 6.818243808345464e-01
5.295459811313444e+00 6.952971965623816e-01 4.498302693881104e+00 6.818245064837924e-01
5.295470817686860e+00 6.952972441031602e-01 4.498288849933292e+00 6.818246321295079e-01
5.295481823923962e+00 6.952972916426846e-01 4.498275006118551e+00 6.818247577716928e-01
5.295492830024729e+00 6.952973391809546e-01 4.498261162436922e+00 6.818248834103456e-01
